id_vehiculo,fecha,hora,ondas,temp_motor,vibracion,presion,humedad,voltaje,velocidad,bateria1,bateria2,dist_supercharger1,dist_supercharger2
24596,14.07.2022,18:09:46,0.759,99.7,0.808,2.9,0.77,409.2,60.2,47.3,78.5,234.1,911.1
24596,14.07.2022,13:24:09,0.914,88.5,0.995,3.65,0.99,381.5,61.2,40.4,65.3,453.7,470.6
24596,14.07.2022,19:11:06,0.94,97.6,0.922,2.26,0.85,411.3,70.7,81.4,54.6,128.2,299.6
24596,14.07.2022,18:52:17,0.81,90.3,0.762,3.67,0.79,377.9,66.0,39.6,86.3,323.6,652.7
24596,14.07.2022,22:02:22,0.84,93.7,0.933,2.2,0.91,385.7,52.7,61.5,76.1,46.2,538.7
24596,14.07.2022,21:05:19,0.891,87.5,0.795,2.29,0.98,437.2,51.8,61.4,50.1,71.6,536.0
24596,14.07.2022,21:49:13,0.874,93.2,0.915,2.13,0.91,369.9,48.5,89.9,93.9,276.2,568.3
24596,14.07.2022,17:51:06,0.821,96.4,0.758,3.51,0.86,334.6,63.6,32.5,52.1,367.5,738.2
24596,14.07.2022,13:03:06,0.746,96.0,0.935,3.98,0.92,413.7,44.9,64.8,75.6,467.8,864.8
24596,14.07.2022,21:57:47,0.972,87.3,0.853,3.52,0.78,417.9,76.8,91.8,47.7,15.9,449.8
24596,14.07.2022,20:31:50,0.792,91.4,0.816,3.17,0.89,381.2,61.2,32.1,64.6,301.5,845.4
24596,14.07.2022,13:51:33,0.911,98.6,0.87,2.48,0.86,438.4,50.8,65.6,82.7,338.9,600.5
24596,14.07.2022,19:04:09,0.803,92.6,0.919,2.7,0.99,371.0,48.5,88.7,63.8,220.2,354.4
24596,14.07.2022,17:39:50,0.83,85.4,0.961,2.62,0.79,359.6,44.4,28.3,42.6,202.7,949.1
24596,14.07.2022,16:19:07,0.914,89.8,0.899,3.86,0.94,374.4,42.2,79.0,76.8,227.8,554.4
24596,14.07.2022,19:00:53,0.765,92.6,0.864,3.05,0.93,391.0,70.8,38.1,49.8,152.2,334.5
24596,14.07.2022,14:33:41,0.965,90.7,0.81,3.55,0.97,367.2,52.2,78.9,53.4,364.1,347.0
24596,14.07.2022,14:15:33,0.734,87.4,0.825,3.89,0.95,402.4,48.9,23.2,95.6,206.3,270.6
24596,14.07.2022,19:40:12,0.785,92.8,0.981,2.21,0.9,385.3,61.8,51.3,90.9,40.8,281.4
24596,14.07.2022,21:41:04,0.84,94.3,0.9,3.31,0.97,405.2,52.7,64.0,53.7,224.9,567.8
24596,14.07.2022,22:12:34,0.937,92.9,0.833,3.86,0.91,342.6,47.5,29.3,69.3,397.8,778.4
24596,14.07.2022,22:10:00,0.876,98.3,0.828,3.37,0.94,362.8,64.2,83.4,47.7,94.5,281.2
